School,Municipality,Board,School Level,Students,Staff,Total Cases,Status
Oakridge Secondary School,London,Thames Valley DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Orchard Park Public School,London,Thames Valley DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Prince Charles Public School,London,Thames Valley DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Princess AnneFrench Immersion Public School,London,Thames Valley DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Regina Mundi College,London,London District Catholic School Board,Secondary,All resolved,All resolved,All resolved,Resolved
Ryerson Public School,London,Thames Valley DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Saunders Secondary School,London,Thames Valley DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Sir Arthur Carty Separate School,London,London District Catholic School Board,Elementary,All resolved,All resolved,All resolved,Resolved
Sir Arthur Currie Elementary School,London,Thames Valley DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Sir George Etienne Cartier Public School,London,Thames Valley DSB,Elementary,All resolved,All resolved,All resolved,Resolved
St Anne's Separate School,London,London District Catholic School Board,Elementary,All resolved,All resolved,All resolved,Resolved
St Catherine of Siena Elementary School,London,London District Catholic School Board,Elementary,All resolved,All resolved,All resolved,Resolved
St Francis School,London,London District Catholic School Board,Elementary,All resolved,All resolved,All resolved,Resolved
St George Separate School,London,London District Catholic School Board,Elementary,All resolved,All resolved,All resolved,Resolved
St Kateri Catholic Elementary School,London,London District Catholic School Board,Elementary,All resolved,All resolved,All resolved,Resolved
St Marguerite d'Youville School,London,London District Catholic School Board,Elementary,All resolved,All resolved,All resolved,Resolved
St Mark Separate School,London,London District Catholic School Board,Elementary,All resolved,All resolved,All resolved,Resolved
St Mary School,London,London District Catholic School Board,Elementary,All resolved,All resolved,All resolved,Resolved
St Thomas Aquinas Secondary School,London,London District Catholic School Board,Secondary,All resolved,All resolved,All resolved,Resolved
St. John French Immersion School,London,London District Catholic School Board,Elementary,All resolved,All resolved,All resolved,Resolved
St. Nicholas Senior Separate School,London,London District Catholic School Board,Elementary,All resolved,All resolved,All resolved,Resolved
Stoney Creek Public School,London,Thames Valley DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Victoria Public School,London,Thames Valley DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Westminster Central Public School,London,Thames Valley DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Westmount Public School,London,Thames Valley DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Wilton Grove Public School,London,Thames Valley DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰cole Ã‰lÃ©mentaire La Pommeraie,London,CS Viamonde,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰cole Ã©lÃ©mentaire catholique Ste-Jeanne-d'Arc,London,Conseil scolaire catholique Providence,Elementary,All resolved,All resolved,All resolved,Resolved
Our Lady of Mount Carmel Catholic Elementary School,Loyalist Township,Algonquin and Lakeshore CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Wilberforce Public School,Lucan Biddulph,Thames Valley DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Madawaska Valley District High School,Madawaska Valley,Renfrew County DSB,Secondary,All resolved,All resolved,All resolved,Resolved
